function,n_stop,n_optimal,difference,early,late,gap_at_stop,optimal_gap
linear,60,440,-380,True,False,0.009298493609422143,-0.0011385475616312313
quadratic,60,440,-380,True,False,0.027079659906053655,-0.012605710077596588
sine,60,500,-440,True,False,0.0043912242617032415,-0.0021961169461143237
sine_high,60,500,-440,True,False,0.15540086291836364,0.01306635492830066
step,60,160,-100,True,False,0.019922268091417727,0.0076630243061477366
abs,60,420,-360,True,False,0.12895750211896506,-0.02719144794501005
exp,60,440,-380,True,False,0.011464307386604533,-0.0036274857254814385
sigmoid,60,440,-380,True,False,0.018641694895059402,-0.0018562945567967004
noisy,60,420,-360,True,False,0.04818961996834692,0.011786032014369119
hetero,60,440,-380,True,False,0.03340961181248858,-0.004204568551607224
